Element Tag,Is Direct Child,Count,CSV File
access_entry,No,1,access_entry.csv
access_rule,No,913,access_rule.csv
action,No,913,action.csv
active_directory_server,Yes,1,active_directory_server.csv
address_range,Yes,25,address_range.csv
admin_domain,Yes,1,admin_domain.csv
anti_spoofing_node,No,2,anti_spoofing_node.csv
antivirus,No,1,antivirus.csv
any_rn_level,No,2,any_rn_level.csv
auth_service,No,76,auth_service.csv
authentication_method,No,1,authentication_method.csv
automatic_rules_settings,No,2,automatic_rules_settings.csv
bgp,No,1,bgp.csv
capabilities,No,1,capabilities.csv
category,Yes,1,category.csv
category_ref,No,113,category_ref.csv
certificate,Yes,5,certificate.csv
certificate_authority,Yes,4,certificate_authority.csv
certificate_authority_ref,No,8,certificate_authority_ref.csv
client_gateway,Yes,1,client_gateway.csv
comment_rule,No,22,comment_rule.csv
connection_timeout,No,8,connection_timeout.csv
dhcp_client_config,No,1,dhcp_client_config.csv
dhcp_client_interface,No,1,dhcp_client_interface.csv
dhcp_relay,No,5,dhcp_relay.csv
dhcp_server,Yes,4,dhcp_server.csv
dhcp_server_list,No,10,dhcp_server_list.csv
dhcp_server_on_interface,No,40,dhcp_server_on_interface.csv
dhcp_server_ref,No,2,dhcp_server_ref.csv
domain_name,Yes,12,domain_name.csv
domain_server_address,No,5,domain_server_address.csv
dynamic_nat,No,2,dynamic_nat.csv
dynamic_routing,No,1,dynamic_routing.csv
end_point,No,30,end_point.csv
expression,Yes,2,expression.csv
expression_value,No,6,expression_value.csv
external_ldap_user_domain,Yes,1,external_ldap_user_domain.csv
file_reputation_settings,No,1,file_reputation_settings.csv
freeswapspace_test,No,1,freeswapspace_test.csv
fw_policy,Yes,1,fw_policy.csv
fw_single_interface,No,28,fw_single_interface.csv
gateway_node,No,2,gateway_node.csv
gateway_rn_level,No,2,gateway_rn_level.csv
gen_service_group,Yes,18,gen_service_group.csv
group,Yes,12,group.csv
group_object_class,No,6,group_object_class.csv
host,Yes,374,host.csv
interface_asn_level,No,30,interface_asn_level.csv
interface_rn_level,No,30,interface_rn_level.csv
interface_zone,Yes,31,interface_zone.csv
internal_gateway,No,1,internal_gateway.csv
internal_user_domain,Yes,1,internal_user_domain.csv
ip,No,33,ip.csv
ip_list,Yes,5,ip_list.csv
ip_netlink_weight,No,1,ip_netlink_weight.csv
ipaddress_behind_router,No,2,ipaddress_behind_router.csv
ipv6_access_entry,No,1,ipv6_access_entry.csv
ipv6_nat_entry,No,1,ipv6_nat_entry.csv
l2fw_settings,No,1,l2fw_settings.csv
ldap_ref,No,1,ldap_ref.csv
linkstatus_test,No,1,linkstatus_test.csv
log_policy,No,915,log_policy.csv
log_server,Yes,2,log_server.csv
master_engine,Yes,1,master_engine.csv
master_node,No,2,master_node.csv
match_destination_ref,No,1383,match_destination_ref.csv
match_destinations,No,915,match_destinations.csv
match_element_entry,No,9,match_element_entry.csv
match_expression,Yes,8,match_expression.csv
match_part,No,915,match_part.csv
match_service_ref,No,3001,match_service_ref.csv
match_services,No,915,match_services.csv
match_source_ref,No,1813,match_source_ref.csv
match_sources,No,915,match_sources.csv
members_list,No,2,members_list.csv
mgt_server,Yes,2,mgt_server.csv
multi_contact_mvia,No,5,multi_contact_mvia.csv
mvia_address,No,445,mvia_address.csv
nat_entry,No,1,nat_entry.csv
nat_pool,No,1,nat_pool.csv
nat_rule,No,2,nat_rule.csv
nat_src,No,2,nat_src.csv
ne_list,No,89,ne_list.csv
netflow_collector,No,8,netflow_collector.csv
netlink,Yes,2,netlink.csv
netlink_address,No,2,netlink_address.csv
network,Yes,125,network.csv
network_element_ref,No,7,network_element_ref.csv
network_list,No,2,network_list.csv
network_rn_level,No,30,network_rn_level.csv
node_interface,No,4,node_interface.csv
ntp_settings,No,1,ntp_settings.csv
option,No,915,option.csv
ospfv2,No,1,ospfv2.csv
outbound_multilink,Yes,1,outbound_multilink.csv
pa_value,No,4,pa_value.csv
packet_description,No,2,packet_description.csv
physical_interface,No,8,physical_interface.csv
probe_address,No,2,probe_address.csv
proxy_setting,No,1,proxy_setting.csv
router,Yes,5,router.csv
routing_node,No,2,routing_node.csv
rule_entry,No,937,rule_entry.csv
scan_detection,No,2,scan_detection.csv
secondary,No,1,secondary.csv
secondary_log_server_ref,No,2,secondary_log_server_ref.csv
server_pool,Yes,1,server_pool.csv
service_ref,No,188,service_ref.csv
service_tcp,Yes,194,service_tcp.csv
service_udp,Yes,58,service_udp.csv
storable_asn_level,No,66,storable_asn_level.csv
subject_alt_name,No,2,subject_alt_name.csv
sync_parameter,No,12,sync_parameter.csv
tester_parameters,No,2,tester_parameters.csv
third_party_monitoring,No,384,third_party_monitoring.csv
tls_server_credentials_list,No,1,tls_server_credentials_list.csv
ts_settings,No,1,ts_settings.csv
tunneling_setting,No,1,tunneling_setting.csv
user,No,133,user.csv
user_match,No,76,user_match.csv
user_object_class,No,4,user_object_class.csv
virtual_fw,Yes,1,virtual_fw.csv
virtual_physical_interface,No,4,virtual_physical_interface.csv
virtual_resource,No,2,virtual_resource.csv
virtual_resource_settings,No,6,virtual_resource_settings.csv
virtual_vlan_interface,No,28,virtual_vlan_interface.csv
vpn,Yes,1,vpn.csv
vpn_action,No,69,vpn_action.csv
vpn_profile,Yes,1,vpn_profile.csv
vpn_ref,No,69,vpn_ref.csv
vpn_site,No,1,vpn_site.csv
vpn_site_interface,No,26,vpn_site_interface.csv
vpn_site_ref,No,2,vpn_site_ref.csv
vpn_topology,No,1,vpn_topology.csv
web_app,No,6,web_app.csv
web_authentication,No,1,web_authentication.csv
