db_key,ip_range,name,category_ref.ref
74287,10.53.101.60-10.53.101.79,10.53.101.60-79,
74280,10.53.104.60-10.53.104.69,10.53.104.60-10.53.104.69,
73885,10.53.107.250-10.53.107.253,10.53.107.250-253,
73886,10.53.121.251-10.53.121.253,10.53.121.251-253,
73887,10.53.126.124-10.53.126.127,10.53.126.124-127,
70968,10.53.126.20-10.53.126.29,10.53.126.20-10.53.126.29,Elements created by Migration Tool
70970,10.53.135.135-10.53.135.235,10.53.135.135-10.53.135.235,
70971,10.53.135.252-10.53.135.253,10.53.135.252-10.53.135.253,
74279,10.53.135.60-10.53.135.69,10.53.135.60-10.53.135.69,
74138,10.53.106.1-10.53.106.99,106_Deny_ips-1:99,
74139,10.53.106.101-10.53.106.246,106_Deny_ips101:246,
74140,10.53.106.248-10.53.106.254,106_Deny_ips248:254,
70998,172.25.80.141-172.25.80.150,AIC-Alex,
70999,172.25.87.40-172.25.87.90,AIC-DEV-RANGE,
71000,172.25.87.25-172.25.87.30,AIC-HPC-RANGE,
71001,172.25.87.21-172.25.87.23,AIC-IT-RANGE,
71002,172.25.80.36-172.25.80.40,AIC_Dell_VPN,Elements created by Migration Tool
71004,172.25.80.141-172.25.80.159,AI_DEV_MCIT,
71006,172.25.80.25-172.25.80.29,AI_Developers,
71012,10.53.130.20-10.53.130.34,Ai-lab,Elements created by Migration Tool
71079,10.111.100.11-10.111.100.15,CUCM Nodes,
71080,10.151.100.21-10.151.100.24,CUCM2,
71089,10.53.135.51-10.53.135.56,Core-Range,Elements created by Migration Tool
71336,172.25.145.70-172.25.145.75,hpc-nonmcit,
71365,192.168.11.218-192.168.11.238,pool_Ai_VPN,Elements created by Migration Tool
