apn,auth_request,auth_request_source,automatic_default_route,backup_heartbeat,backup_mgt,db_key,domain_specific_dns_queries_source,dynamic_ip,igmp_mode,modem,name,network_value,nicid,nodeid,outgoing,phone_number,pppoa,pppoe,primary_heartbeat,primary_mgt,rank,relayed_by_dhcp,reverse_connection,vrrp,mvia_address.address,comment
internet,false,false,false,false,false,106,false,false,none,false,NDI-3.30-10.53.30.1,10.53.30.0/24,3.30,1,false,*99#,false,false,false,false,0,false,false,false,10.53.30.1,
internet,false,false,false,false,false,165,false,false,none,false,NDI-2.151-10.53.41.1,10.53.41.0/24,2.151,1,false,*99#,false,false,false,false,0,false,false,false,10.53.41.1,
internet,true,false,false,false,false,85,false,false,none,false,NDI-2.74-10.53.74.1,10.53.74.0/24,2.74,1,true,*99#,false,false,false,false,0,false,false,false,10.53.74.1,
internet,false,false,false,false,false,84,false,false,none,false,NDI-2.101-10.53.101.1,10.53.101.0/24,2.101,1,false,*99#,false,false,false,false,0,false,false,false,10.53.101.1,
internet,false,false,false,false,false,81,false,false,none,false,NDI-2.102-10.53.102.1,10.53.102.0/24,2.102,1,false,*99#,false,false,false,false,0,false,false,false,10.53.102.1,
internet,false,false,false,false,false,82,false,false,none,false,NDI-2.103-10.53.103.1,10.53.103.0/24,2.103,1,false,*99#,false,false,false,false,0,false,false,false,10.53.103.1,
internet,false,false,false,false,false,88,false,false,none,false,NDI-2.104-10.53.104.1,10.53.104.0/24,2.104,1,false,*99#,false,false,false,false,0,false,false,false,10.53.104.1,
internet,false,false,false,false,false,89,false,false,none,false,NDI-2.105-10.53.105.1,10.53.105.0/24,2.105,1,false,*99#,false,false,false,false,0,false,false,false,10.53.105.1,
internet,false,false,false,false,false,86,false,false,none,false,NDI-2.106-10.53.106.1,10.53.106.0/24,2.106,1,false,*99#,false,false,false,false,0,false,false,false,10.53.106.1,
internet,false,false,false,false,false,87,false,false,none,false,NDI-2.107-10.53.107.1,10.53.107.0/24,2.107,1,false,*99#,false,false,false,false,0,true,false,false,10.53.107.1,
internet,false,false,false,false,false,159,false,false,none,false,NDI-2.108-10.53.108.1,10.53.108.0/24,2.108,1,false,*99#,false,false,false,false,0,false,false,false,10.53.108.1,EPM_STG_DB
internet,false,false,false,false,false,160,false,false,none,false,NDI-2.109-10.53.109.1,10.53.109.0/24,2.109,1,false,*99#,false,false,false,false,0,false,false,false,10.53.109.1,EPM_STG_WEB
internet,false,false,false,false,false,107,false,false,none,false,NDI-3.110-10.53.110.1,10.53.110.0/24,3.110,1,false,*99#,false,false,false,false,0,false,false,false,10.53.110.1,
internet,false,false,false,false,false,158,false,false,none,false,NDI-2.111-10.53.111.1,10.53.111.0/24,2.111,1,false,*99#,false,false,false,false,0,false,false,false,10.53.111.1,EPM_PRD_DB
internet,false,false,false,false,false,161,false,false,none,false,NDI-2.112-10.53.112.1,10.53.112.0/24,2.112,1,false,*99#,false,false,false,false,0,false,false,false,10.53.112.1,EPM_PRD_WEB
internet,false,false,false,false,false,91,false,false,none,false,NDI-2.115-10.53.115.1,10.53.115.0/24,2.115,1,false,*99#,false,false,false,false,0,false,false,false,10.53.115.1,
internet,false,false,false,false,false,163,false,false,none,false,NDI-2.116-10.53.116.1,10.53.116.0/24,2.116,1,false,*99#,false,false,false,false,0,true,false,false,10.53.116.1,
internet,false,false,false,false,false,164,false,false,none,false,NDI-2.117-10.53.117.1,10.53.117.0/24,2.117,1,false,*99#,false,false,false,false,0,true,false,false,10.53.117.1,
internet,false,false,false,false,false,162,false,false,none,false,NDI-2.118-10.53.118.1,10.53.118.0/24,2.118,1,false,*99#,false,false,false,false,0,true,false,false,10.53.118.1,
internet,false,false,false,false,false,93,false,false,none,false,NDI-2.123-10.53.123.1,10.53.123.0/24,2.123,1,false,*99#,false,false,false,false,0,false,false,false,10.53.123.1,
internet,false,false,false,false,false,83,false,false,none,false,NDI-2.135-10.53.135.1,10.53.135.0/24,2.135,1,false,*99#,false,false,false,false,0,false,false,false,10.53.135.1,
internet,false,false,false,false,false,90,false,false,none,false,NDI-2.140-10.53.140.1,10.53.140.0/24,2.140,1,false,*99#,false,false,false,false,0,false,false,false,10.53.140.1,
internet,false,false,false,false,false,92,false,false,none,false,NDI-2.145-10.53.145.1,10.53.145.0/24,2.145,1,false,*99#,false,false,false,false,0,false,false,false,10.53.145.1,
internet,false,false,false,false,false,155,false,false,none,false,NDI-2.150-10.53.150.1,10.53.150.0/24,2.150,1,false,*99#,false,false,false,false,0,false,false,false,10.53.150.1,
internet,false,false,false,false,false,103,false,false,none,false,NDI-3.180-10.53.180.1,10.53.180.0/24,3.180,1,false,*99#,false,false,false,false,0,false,false,false,10.53.180.1,
internet,false,false,false,false,false,104,false,false,none,false,NDI-3.202-10.53.202.1,10.53.202.0/24,3.202,1,false,*99#,false,false,false,false,0,true,false,false,10.53.202.1,
internet,false,false,false,false,false,95,false,false,none,false,NDI-2.222-10.53.222.1,10.53.222.0/24,2.222,1,false,*99#,false,false,false,false,0,false,false,false,10.53.222.1,
internet,false,false,false,false,false,97,false,false,none,false,NDI-2.223-10.53.223.1,10.53.223.0/24,2.223,1,false,*99#,false,false,false,false,0,false,false,false,10.53.223.1,
