db_key,name,service_ref.class_id,service_ref.ref,category_ref.ref,service_ref.ref_key,comment
7501,1433-TCP-UDP,46 | 55,tcp_service_1433 | udp_service_1433,Elements created by Migration Tool,,
7503,5060,46 | 46 | 46 | 55 | 55 | 55,SIP Control (TCP) | SIP (TCP) | tcp_service_5060 | SIP Control (UDP) | SIP (UDP) | udp_service_5060,Elements created by Migration Tool,10039 | 10047 | 10040 | 10048,
7748,AD services,27,AD_services,Elements created by Migration Tool,,
7504,AD_services,46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55 | 55,Remote Desktop | DNS (TCP) | Kerberos | Kpasswd | LDAP (TCP) | LDAPS (TCP) | Microsoft-DS | NTP (TCP) | Microsoft Global Catalog LDAP (TCP) | Microsoft Global Catalog LDAPS (TCP) | LDAPS (with decryption) | DNS (TCP with SafeSearch) | 3000 | 49152-65535-tcp | tcp_service_123 | tcp_service_135 | 49668 | 49681 | 445 | 3268-3269 | 32683 | 389/TCP | 123. | 464. | 36 | 636 | 3200 | 3268 | 3269 | 5723-TCP | DNS (UDP) | NetBIOS Datagram | NTP (UDP) | LDAP (UDP) | LDAPS (UDP) | 123 | 139 | 464 | DHCP | 389 | 88 | 88. | 389. | 3893 | 4640 | 5723,Elements created by Migration Tool,281 | 321 | 343 | 345 | 347 | 348 | 351 | 362 | 12038 | 12040 | 12044 | 12069 | 414 | 420 | 425 | 457 | 458,"88,389,445,3268,464,123,636,3269,88/UDP,389/UDP,464/UDP,123/UDP"
7506,AI-ports,28 | 46 | 46 | 46 | 46 | 46 | 46 | 46,Ping | Remote Desktop | HTTP | HTTPS | SSH | 8081 | tcp_service_8000 | tcp_service_8080,,453 | 281 | 330 | 332 | 380,
7507,ANTIVIRUS,46 | 46 | 46 | 46 | 46 | 46 | 46,HTTP | HTTPS | 8080 | 8082 | 8443 | 8445 | 8087,,330 | 332,
7508,Alexandria Annotation Server,46 | 46 | 46 | 46 | 46,HTTP | HTTPS | SSH | 10015-10016 | 8091,,330 | 332 | 380,
7510,Core-Services,46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 55 | 55 | 55,tcp_service_22 | tcp_service_25 | tcp_service_443 | tcp_service_53 | tcp_service_80 | tcp_service_8000 | tcp_service_8080 | tcp_service_143 | tcp_service_9481 | udp_service_123 | udp_service_161 | udp_service_1194,Elements created by Migration Tool,,
7514,Kaspersky-service,46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 55 | 55 | 55 | 55 | 55 | 55 | 55,HTTP | HTTP (SafeSearch) | 7271 | 7272 | 9876 | 11111 | 13000 | 13111 | 14000 | 14111 | 15000 | udp/8000 | udp/13000 | udp/13111 | udp/14000 | udp/14111 | udp/15000 | udp/15111,,330 | 484,
7529,RDP remote,46,Remote Desktop,Elements created by Migration Tool,281,
7525,Voip-imp,27 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46,5060 | HTTP | SSH | 5061 | 8080 | 8082 | 8443 | tcp_service_22 | 5062 | tcp_service_5222 | 7336 | 8083 | 8600,,330 | 380,
7530,admin-to-voip-endpoint,28 | 46 | 46 | 46 | 46 | 46 | 46 | 46,Ping | FTP | HTTP | HTTPS | SSH | 8080 | 8443 | tcp_service_22,,453 | 325 | 330 | 332 | 380,
7531,cucm-voip,27 | 46 | 46 | 46 | 46 | 55,5060 | HTTP | SCCP | tcp_service_80 | 5061 | rtp-ports -,,330 | 12019,
7532,demo-ports,46 | 46 | 46 | 46 | 46 | 46 | 46,HTTP | HTTPS | SSH | 3000-9000 | 9090 | tcp_service_22 | tcp_service_80,,330 | 332 | 380,
7533,pca-voip,28 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 55 | 55,Ping | FTP | HTTP | HTTPS | SSH | 8080 | 8443 | tcp_service_22 | 161 | rtp-ports -,,453 | 325 | 330 | 332 | 380,
7535,voip-cuc,46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 55 | 55,HTTPS | IMAPS | 143 | 7443 | tcp_service_993 | 5001-5004 | 5060-5199 | 7080 | 7993 | 8143 | 8993 | 21000-21512 | 32768-61000-tcp | 32768-61000 | 16384-21511,,332 | 336,
7536,voip-cucm,27 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 46 | 55 | 55 | 55 | 55 | 55 | 55,5060 | DNS (TCP) | SCCP | 5061 | 8080 | 8443 | 9443 | 2443 | 2445 | 2748 | 3804 | 6970-6972 | 8191 | TFTP | rtp-ports - | 5070 | 5070-6070 | 30000-39999 | 32768-61000,,321 | 12019 | 439,
7537,whatsapp,46 | 46 | 46 | 46,tcp_service_5222 | tcp_service_993 | tcp_service_5223 | tcp_service_5228,Elements created by Migration Tool,,
