db_key,dyn_routing_nic_id,exclude_from_ip_counting,nicid,network_rn_level.db_key,network_rn_level.ipaddress,network_rn_level.ne_ref,network_rn_level.gateway_rn_level.db_key,network_rn_level.gateway_rn_level.ipaddress,network_rn_level.gateway_rn_level.ne_ref,network_rn_level.gateway_rn_level.ipaddress_behind_router.gateway,network_rn_level.gateway_rn_level.ipaddress_behind_router.ipaddress,network_rn_level.gateway_rn_level.any_rn_level.db_key,network_rn_level.gateway_rn_level.any_rn_level.ipaddress,network_rn_level.gateway_rn_level.any_rn_level.ne_ref,network_rn_level.gateway_rn_level.any_rn_level.ne_ref_key,network_rn_level.gateway_rn_level.any_rn_level.probe_ecmp,network_rn_level.gateway_rn_level.any_rn_level.probe_metric,network_rn_level.gateway_rn_level.any_rn_level.probe_test
183,131146,false,2.74,184,10.53.74.0/24,network-10.53.74.0/24,352,10.53.74.254,R-10.53.74.254,10.53.74.254,0.0.0.0/0,353,0.0.0.0/0,Any network,2,0,0,not_enabled
185,131173,false,2.101,186,10.53.101.0/24,network-10.53.101.0/24,,,,,,,,,,,,
187,131174,false,2.102,188,10.53.102.0/24,network-10.53.102.0/24,,,,,,,,,,,,
189,131175,false,2.103,190,10.53.103.0/24,network-10.53.103.0/24,,,,,,,,,,,,
191,131176,false,2.104,192,10.53.104.0/24,network-10.53.104.0/24,,,,,,,,,,,,
193,131177,false,2.105,194,10.53.105.0/24,network-10.53.105.0/24,,,,,,,,,,,,
195,131178,false,2.106,196,10.53.106.0/24,network-10.53.106.0/24,,,,,,,,,,,,
197,131179,false,2.107,198,10.53.107.0/24,network-10.53.107.0/24,,,,,,,,,,,,
364,131180,false,2.108,365,10.53.108.0/24,network-10.53.108.0/24,,,,,,,,,,,,
366,131181,false,2.109,367,10.53.109.0/24,network-10.53.109.0/24,,,,,,,,,,,,
368,131183,false,2.111,369,10.53.111.0/24,network-10.53.111.0/24,,,,,,,,,,,,
370,131184,false,2.112,371,10.53.112.0/24,network-10.53.112.0/24,,,,,,,,,,,,
199,131187,false,2.115,200,10.53.115.0/24,Cairo_ IT_Test _115,,,,,,,,,,,,
374,131188,false,2.116,375,10.53.116.0/24,AIC RProxy Network,,,,,,,,,,,,
376,131189,false,2.117,377,10.53.117.0/24,network-10.53.117.0/24,,,,,,,,,,,,
372,131190,false,2.118,373,10.53.118.0/24,network-10.53.118.0/24,,,,,,,,,,,,
203,131195,false,2.123,204,10.53.123.0/24,network-10.53.123.0/24,,,,,,,,,,,,
209,131207,false,2.135,210,10.53.135.0/24,network-10.53.135.0/24,,,,,,,,,,,,
211,131212,false,2.140,212,10.53.140.0/24,network-10.53.140.0/24,,,,,,,,,,,,
213,131217,false,2.145,214,10.53.145.0/24,network-10.53.145.0/24,,,,,,,,,,,,
358,131222,false,2.150,359,10.53.150.0/24,network-10.53.150.0/24,,,,,,,,,,,,
379,131223,false,2.151,380,10.53.41.0/24,network-10.53.41.0/24,,,,,,,,,,,,
215,131294,false,2.222,216,10.53.222.0/24,network-10.53.222.0/24,,,,,,,,,,,,
217,131295,false,2.223,218,10.53.223.0/24,Server-Mgmt-B2,,,,,,,,,,,,
219,196638,false,3.30,220,10.53.30.0/24,AIC-Pool,,,,,,,,,,,,
223,196718,false,3.110,224,10.53.110.0/24,network-10.53.110.0/24,,,,,,,,,,,,
229,196788,false,3.180,230,10.53.180.0/24,network-10.53.180.0/24,,,,,,,,,,,,
231,196810,false,3.202,232,10.53.202.0/24,network-10.53.202.0/24,,,,,,,,,,,,
2,0,false,0,253,10.53.145.0/24,network-10.53.145.0/24,257,10.53.145.10,router-10.53.145.10,10.53.145.10,0.0.0.0/0,258,0.0.0.0/0,Any network,2,0,0,not_enabled
6,65536,false,1,7,1.1.1.0/24,network-1.1.1.0/24,,,,,,,,,,,,
