class_id,ref
11,106_Deny_ips-1:99
11,106_Deny_ips101:246
11,106_Deny_ips248:254
3,10.53.126.124
3,10.53.126.125
3,10.53.126.126
3,10.53.126.127
3,10.54.135.40
3,10.54.200.21
3,10.54.200.24
3,10.54.200.30
3,LXC Management Node
3,10.210.250.36
3,10.210.250.37
3,10.111.100.40
3,10.151.100.40
11,CUCM Nodes
11,CUCM2
3,10.53.107.247
3,10.53.107.248
3,10.53.107.249
3,10.53.126.124
3,10.53.126.125
3,10.53.126.126
3,10.53.126.127
3,10.54.126.20
3,10.54.126.24
3,10.54.126.30
3,10.54.135.40
3,LXC Management Node
6,10.108.0.0
6,10.116.0.0
6,10.125.0.0
6,10.134.0.0
6,10.147.0.0
6,10.166.0.0
6,10.167.0.0
6,10.33.0.0
6,10.40.176.0
6,10.55.0.0
6,10.63.0.0
6,10.72.0.0
6,10.83.0.0
6,10.94.0.0
6,AIC-alex-voice
6,wireless-voice
3,10.210.250.31
3,10.210.250.32
3,10.210.250.36
3,10.210.250.37
3,10.54.10.10
3,10.54.100.1
3,3925_VGW3
3,3945_VGW1
3,3945_VGW2
3,B115-F1A
3,B115_B3_VG1_F2A
3,B124-VG
3,B147_F1B_VG
3,B147_F2A_VG
3,B1_A_VG
3,B1_C_VG
3,B3_F0_VG1
3,B3_F1_VG1
3,B3_F2_VG1
3,B4_F0A_VG1
3,B4_F1A_VG1
3,B4_F2B_VG1
3,B5_F0_VG1
3,Cabinet-VG-F0
3,ITI_GR
3,ITIDA_F0
3,ITIDA_F1
3,ITIDA_F2
3,ITIDA_F3
3,Maadi-VG New_2951
3,Maadi-VG Old
3,Maadi-VG1
3,MOH _F3
3,MOH _F4
3,MOH_F5
3,52.97.201.194
3,52.97.232.194
3,52.98.163.18
3,52.98.168.178
3,52.97.201.210
3,52.97.201.226
3,52.98.163.18
3,52.98.206.242
