broadcast,comment,db_key,ipv4_network,name,category_ref.ref
false,imported addresses,71427,10.100.111.0/24,10.100.111.0/24,
true,,71433,10.108.0.0/16,10.108.0.0,
true,,71434,10.116.0.0/16,10.116.0.0,
true,,71438,10.125.0.0/16,10.125.0.0,
true,,71439,10.134.0.0/16,10.134.0.0,
true,,71442,10.147.0.0/16,10.147.0.0,
true,,71443,10.166.0.0/16,10.166.0.0,
true,,71444,10.167.0.0/24,10.167.0.0,
false,Imported_DataCenter_Subnets,71587,10.210.225.0/24,10.210.225.0/255.255.255.0,
false,Imported_DataCenter_Subnets,71589,10.210.227.0/24,10.210.227.0/255.255.255.0,
false,Imported_DataCenter_Subnets,71650,10.210.53.0/24,10.210.53.0/255.255.255.0,
true,,71701,10.33.0.0/16,10.33.0.0,
true,,71703,10.40.176.0/21,10.40.176.0,
false,,71705,10.53.120.0/24,10.53.120.0/24,Elements created by Migration Tool
true,,74254,10.53.126.0/24,10.53.126.0,
false,,71706,10.53.130.0/24,10.53.130.0/24,Elements created by Migration Tool
false,,71707,10.53.180.0/24,10.53.180.0/24,Elements created by Migration Tool
false,,71708,10.53.222.0/24,10.53.222.0/24,Elements created by Migration Tool
false,,71710,10.53.231.0/24,10.53.231.0/24,Elements created by Migration Tool
false,,71711,10.53.232.0/24,10.53.232.0/24,Elements created by Migration Tool
true,,74012,10.54.101.0/24,10.54.101.0,
true,,74080,10.54.125.0/24,10.54.125.0,
true,,73999,10.54.130.0/24,10.54.130.0,
true,,71713,10.54.135.0/24,10.54.135.0/24,
false,,71714,10.54.200.0/24,10.54.200.0/24,Elements created by Migration Tool
true,,73998,10.54.230.0/24,10.54.230.0,
true,,71715,10.55.0.0/16,10.55.0.0,
true,,74264,10.58.120.0/24,10.58.120.0/24,
true,,74265,10.58.125.0/24,10.58.125.0./24,
true,,74266,10.58.126.0/24,10.58.126.0/24,
true,,74268,10.58.127.0/24,10.58.127.0/24,
true,,74269,10.58.128.0/24,10.58.128.0,
true,,74267,10.58.129.0/24,10.58.129.0/24,
true,,74270,10.58.130.0/24,10.58.130.0,
true,,74271,10.58.200.0/24,10.58.200.0,
true,,74272,10.58.202.0/24,10.58.202.0,
true,,71716,10.63.0.0/16,10.63.0.0,
true,,71718,10.72.0.0/16,10.72.0.0,
true,,71719,10.83.0.0/16,10.83.0.0,
true,,71722,10.94.0.0/16,10.94.0.0,
true,,71742,10.53.130.0/24,AI-lab,
true,,71743,10.53.81.0/24,AIC Guests,
true,,74262,10.58.230.0/24,AIC KC Printer,
false,,72108,10.53.200.0/24,AIC Operations,Elements created by Migration Tool
true,,74221,10.53.116.0/24,AIC RProxy Network,
true,,74123,10.53.129.0/24,AIC SWD,
true,,73894,10.54.0.0/16,AIC-AlexVPN,
true,,74093,10.53.125.0/24,AIC-CAI-IT,
true,,73895,10.53.30.0/24,AIC-Pool,
true,,71744,10.54.100.0/24,AIC-alex-voice,
false,,71745,10.53.0.0/16,AIC_Subnet,
true,,71747,10.53.80.0/24,AI_Wireless,
true,,71748,10.53.200.0/24,AI_users(1),
true,,74213,10.54.104.0/24,Alex-BMC,
true,,74210,10.54.107.0/24,Alex-Kubernetes,
true,,74211,10.54.106.0/24,Alex_VM_Internal,
true,,74168,10.54.125.0/24,Alexandria_IT_Admin_125,
true,,74155,10.54.135.0/26,Alexandria_K8s_Metallb,
true,,71712,10.54.126.0/24,Alexandria_R&D_Team_126   ,
true,,74169,10.54.129.0/24,Alexandria_Software_129,
true,,71755,0.0.0.0/0,Any Network any,
true,,73897,10.53.115.0/24,Cairo_ IT_Test _115,
true,,74170,10.53.111.0/24,Cairo_EPM_Prd_DB,
true,,74167,10.53.112.0/24,Cairo_EPM_Prd_Web,
true,,74174,10.53.108.0/24,Cairo_EPM_Stg_DB,
true,,74173,10.53.109.0/24,Cairo_EPM_Stg_Web,
true,,74164,10.53.130.0/24,Cairo_HPC_Team_130,
true,,74180,10.53.123.0/24,Cairo_Office365_VM_123,
false,,71709,10.53.230.0/24,Cairo_Printer_230,Elements created by Migration Tool
true,,72177,10.53.126.0/24,Cairo_R&D_Team_126,
false,,71746,10.53.126.0/24,Cairo_R&D_Team_126-,Elements created by Migration Tool
false,,71866,192.168.54.0/24,HPC-AI-webzone,Elements created by Migration Tool
true,,74219,10.54.102.0/24,Hypervisors_102,
false,imported addresses,71873,10.100.115.0/24,IT-Support,
false,,71920,10.53.130.0/24,Lab2,Elements created by Migration Tool
true,,74256,172.26.12.56/29,MCIT-Proxy,
true,,74118,172.26.80.0/24,MCIT-WAF,
false,imported addresses,71942,10.100.111.0/24,MNOT,
false,,71945,10.100.112.0/27,MSOT,Elements created by Migration Tool
true,,71970,10.53.223.0/24,NEW_SERVER_MGMT,
false,,72028,10.53.230.0/24,Printer_Vlan,Elements created by Migration Tool
true,,74273,172.26.12.0/29,Proxy-MG,
true,,74235,172.23.97.0/24,Root WAF Network,
true,,72047,10.53.223.0/24,Server-Mgmt-B2,
true,,72106,10.53.120.0/24,ai_server,
true,,72107,10.54.80.0/24,alex-wireless,
false,,72109,10.53.231.0/24,camera,Elements created by Migration Tool
true,,72132,1.1.1.0/24,network-1.1.1.0/24,
true,,72169,10.53.101.0/24,network-10.53.101.0/24,
true,,72170,10.53.102.0/24,network-10.53.102.0/24,
true,,72171,10.53.103.0/24,network-10.53.103.0/24,
true,,72172,10.53.104.0/24,network-10.53.104.0/24,
true,,72173,10.53.105.0/24,network-10.53.105.0/24,
true,,72174,10.53.106.0/24,network-10.53.106.0/24,
true,,72175,10.53.107.0/24,network-10.53.107.0/24,
true,,74157,10.53.108.0/24,network-10.53.108.0/24,
true,,74159,10.53.109.0/24,network-10.53.109.0/24,
true,,73896,10.53.110.0/24,network-10.53.110.0/24,
true,,74161,10.53.111.0/24,network-10.53.111.0/24,
true,,74163,10.53.112.0/24,network-10.53.112.0/24,
true,,74222,10.53.117.0/24,network-10.53.117.0/24,
true,,74223,10.53.118.0/24,network-10.53.118.0/24,
true,,72176,10.53.123.0/24,network-10.53.123.0/24,
true,,74082,10.53.125.0/24,network-10.53.125.0/24,
true,,72178,10.53.127.0/24,network-10.53.127.0/24,
true,,72179,10.53.128.0/24,network-10.53.128.0/24,
true,,72180,10.53.135.0/24,network-10.53.135.0/24,
true,,72181,10.53.140.0/24,network-10.53.140.0/24,
true,,72182,10.53.145.0/24,network-10.53.145.0/24,
true,,74033,10.53.150.0/24,network-10.53.150.0/24,
true,,72183,10.53.180.0/24,network-10.53.180.0/24,
true,,73898,10.53.202.0/24,network-10.53.202.0/24,
true,,72184,10.53.222.0/24,network-10.53.222.0/24,
true,,72185,10.53.230.0/24,network-10.53.230.0/24,
true,,74288,10.53.41.0/24,network-10.53.41.0/24,
true,,73900,10.53.74.0/24,network-10.53.74.0/24,
true,,74126,10.54.129.0/24,network-10.54.129.0/24,
true,,72189,10.56.0.0/16,network-10.56.0.0/16,
true,,74021,41.33.206.72/29,network-41.33.206.72/29,
true,,72196,41.33.212.176/29,network-41.33.212.176/29,
false,,72198,10.53.120.0/24,server_vlan,Elements created by Migration Tool
false,,72199,10.53.120.0/24,servers_Vlan,Elements created by Migration Tool
false,,72201,10.53.200.0/24,users,Elements created by Migration Tool
true,,72203,10.105.0.0/21,wireless-voice,
false,,72206,10.53.80.0/24,wireless_subnet,Elements created by Migration Tool
