db_key,min_dst_port,name,category_ref.ref,max_dst_port
7299,1194,1194,Elements created by Migration Tool,
7300,123,123,Elements created by Migration Tool,
7723,139,137,,139
7724,138,138,,138
7301,139,139,,
7742,1434,1434,,
7302,161,161,Elements created by Migration Tool,
7303,16384,16384-21511,,21511
7304,16384,16384-32767,,32767
7675,2701,2701-2702,,2702
7775,300,300-306,,306
7655,3000,3000-udp,,
7305,30000,30000-39999,,39999
7306,32764,32764:32769-udp,,32769
7307,32768,32768-61000,,61000
7656,389,389,,
7765,0,389.,,389
7772,0,3893,,389
7308,464,464,,
7773,0,4640,,464
7309,49152,49152-65535,,65535
7312,5070,5070,,5070
7313,5070,5070-6070,,6070
7710,5555,5555-udp,,5555
7314,5723,5723,,
7657,587,587,,
7315,623,623,,
7677,63000,63000-64000,,64000
7778,664,664,,664
7658,7844,7844-udp,,
7316,8000,8000-8008,,8008
7317,8001,8001-8008,,8008
7685,8001,8001-8009udp,,8009
7732,8006,8006/UDP,,8006
7659,8080,8080-udp,,
7660,88,88,,
7764,0,88.,,88
7661,9090,9090-udp,,
7318,67,DHCP,Elements created by Migration Tool,68
7321,16384,rtp-ports -,,32767
7322,13000,udp/13000,,
7323,13111,udp/13111,,
7324,14000,udp/14000,,
7325,14111,udp/14111,,
7326,15000,udp/15000,,
7327,15111,udp/15111,,
7328,8000,udp/8000,,
7331,111,udp_service_111,Elements created by Migration Tool,
7332,1194,udp_service_1194,Elements created by Migration Tool,
7333,123,udp_service_123,Elements created by Migration Tool,
7334,135,udp_service_135,Elements created by Migration Tool,
7335,1433,udp_service_1433,Elements created by Migration Tool,
7337,161,udp_service_161,Elements created by Migration Tool,
7338,161,udp_service_161_162,Elements created by Migration Tool,162
7345,2049,udp_service_2049,Elements created by Migration Tool,
7355,5060,udp_service_5060,Elements created by Migration Tool,
7356,53,udp_service_53,Elements created by Migration Tool,
7362,88,udp_service_88,Elements created by Migration Tool,
