netflow,snmp_trap
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
false,false
