db_key,duplicate_address_detection,include_prefix_info_option_flag,interface_id,managed_address_flag,other_configuration_flag,override_engine_settings,override_log_moderation_settings,qos_mode,route_replies_back_mode,router_advertisement,set_autonomous_address_flag,syn_mode,zone_ref,dhcp_server_on_interface.default_lease_time,dhcp_relay.enabled,dhcp_relay.max_packet_size,dhcp_relay.trusted_circuit,dhcp_relay.dhcp_server_list.class_id,dhcp_relay.dhcp_server_list.ref,comment
95,true,false,2.74,false,false,false,false,no_qos,false,false,false,default,Outside,7200,,,,,,
94,true,false,2.101,false,false,false,false,no_qos,false,false,false,default,Network Storage (NFS),7200,,,,,,
91,true,false,2.102,false,false,false,false,no_qos,false,false,false,default,MGMT network,7200,,,,,,
92,true,false,2.103,false,false,false,false,no_qos,false,false,false,default,VM migration Network,7200,,,,,,
98,true,false,2.104,false,false,false,false,no_qos,false,false,false,default,HW MGMT network,7200,,,,,,
99,true,false,2.105,false,false,false,false,no_qos,false,false,false,default,VM network 2(NAT),7200,,,,,,
96,true,false,2.106,false,false,false,false,no_qos,false,false,false,default,VM network 3(internal 1),7200,,,,,,
97,true,false,2.107,false,false,false,false,no_qos,false,false,false,default,VM network 4(internal 2 ),7200,true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary,
181,true,false,2.108,false,false,false,false,no_qos,false,false,false,default,EPM_STG_DB,7200,,,,,,
182,true,false,2.109,false,false,false,false,no_qos,false,false,false,default,EPM_STG_WEB,7200,,,,,,
180,true,false,2.111,false,false,false,false,no_qos,false,false,false,default,EPM_PRD_DB,7200,,,,,,
183,true,false,2.112,false,false,false,false,no_qos,false,false,false,default,EPM_PRD_WEB,7200,,,,,,
101,true,false,2.115,false,false,false,false,no_qos,false,false,false,default,EDR-POC,7200,,,,,,
185,true,false,2.116,false,false,false,false,no_qos,false,false,false,default,Thebes Reverse Proxy,7200,true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary,
186,true,false,2.117,false,false,false,false,no_qos,false,false,false,default,Thebes DevOps,7200,true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary,
184,true,false,2.118,false,false,false,false,no_qos,false,false,false,default,Thebes_Kubernetes,7200,true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary,
103,true,false,2.123,false,false,false,false,no_qos,false,false,false,default,ADconnect,7200,,,,,,
93,true,false,2.135,false,false,false,false,no_qos,false,false,false,default,Vm network 1(infrastructure),7200,,,,,,
100,true,false,2.140,false,false,false,false,no_qos,false,false,false,default,HPC Cluster 4 nodes,7200,,,,,,
102,true,false,2.145,false,false,false,false,no_qos,false,false,false,default,New-smc-mangment,7200,,,,,,
177,true,false,2.150,false,false,false,false,no_qos,false,false,false,default,Web Zone,7200,,,,,,
187,true,false,2.151,false,false,false,false,no_qos,false,false,false,default,JumpServer,7200,,,,,,JUMP SERVER
105,true,false,2.222,false,false,false,false,no_qos,false,false,false,default,New_Server_Data,7200,,,,,,
107,true,false,2.223,false,false,false,false,no_qos,false,false,false,default,New_Server_MGM,7200,,,,,,
117,true,false,3.30,false,false,false,false,no_qos,false,false,false,default,VPN-DHCP,7200,,,,,,
118,true,false,3.110,false,false,false,false,no_qos,false,false,false,default,ssl-VPN,7200,,,,,,
114,true,false,3.180,false,false,false,false,no_qos,false,false,false,default,video conferenc,7200,,,,,,
115,true,false,3.202,false,false,false,false,no_qos,false,false,false,default,security building,7200,true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary,
