autogenerated,enabled,name
true,true,VLAN 2.101
true,true,VLAN 2.102
true,true,VLAN 2.103
true,true,VLAN 2.104
true,true,VLAN 2.105
true,true,VLAN 2.106
true,true,VLAN 2.107
true,true,VLAN 2.108
true,true,VLAN 2.109
true,true,VLAN 2.111
true,true,VLAN 2.112
true,true,VLAN 2.115
true,true,VLAN 2.116
true,true,VLAN 2.117
true,true,VLAN 2.118
true,true,VLAN 2.123
true,true,VLAN 2.135
true,true,VLAN 2.140
true,true,VLAN 2.145
true,true,VLAN 2.150
true,true,VLAN 2.151
true,true,VLAN 2.222
true,true,VLAN 2.223
true,true,VLAN 3.110
true,true,VLAN 3.180
true,true,VLAN 3.202
